epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,42.7074,1.43717,1.68717,0.99127,0.31966,0.23965,0.20607,0.12078,1.43012,1.27301,0.93014,0.0820887,0.00199015,0.00199015
2,83.4258,1.34763,1.11145,0.94249,0.34141,0.26284,0.23167,0.13317,1.40052,1.21911,0.92431,0.0640755,0.00397698,0.00397698
3,123.835,1.35923,1.0605,0.93999,0.38487,0.27962,0.25963,0.15081,1.41911,1.14254,0.92646,0.0460491,0.00595061,0.00595061
4,163.013,1.37157,1.0375,0.94114,0.37058,0.2825,0.25609,0.1452,1.41561,1.15952,0.92882,0.0280096,0.00791105,0.00791105
5,202.448,1.39909,1.07344,0.95077,0.35081,0.27349,0.2396,0.13432,1.44484,1.29381,0.94186,0.0099568,0.00985828,0.00985828
6,241.977,1.41456,1.08476,0.95592,0.3067,0.24777,0.20897,0.11489,1.4817,1.29771,0.94954,0.009835,0.009835,0.009835
7,281.182,1.39809,1.0502,0.95039,0.36791,0.27974,0.25202,0.14431,1.41159,1.18338,0.93662,0.009802,0.009802,0.009802
8,320.013,1.37461,1.02361,0.94508,0.37571,0.27955,0.25119,0.14255,1.43694,1.18293,0.93527,0.009769,0.009769,0.009769
9,359.263,1.35328,0.99418,0.94014,0.37484,0.28687,0.25863,0.14799,1.41667,1.15144,0.93364,0.009736,0.009736,0.009736
10,398.578,1.33333,0.97683,0.93806,0.38964,0.29562,0.26715,0.15322,1.40861,1.12321,0.93153,0.009703,0.009703,0.009703
11,438.104,1.32112,0.95331,0.93462,0.39623,0.29748,0.27637,0.15924,1.38657,1.10779,0.92612,0.00967,0.00967,0.00967
12,477.615,1.30456,0.93881,0.93056,0.40532,0.29156,0.27742,0.16004,1.37522,1.11225,0.92264,0.009637,0.009637,0.009637
13,517.032,1.29496,0.9244,0.9281,0.39986,0.30742,0.28153,0.1617,1.37923,1.08678,0.92309,0.009604,0.009604,0.009604
14,556.496,1.28477,0.90973,0.92511,0.41015,0.30604,0.28701,0.16619,1.3752,1.07769,0.92231,0.009571,0.009571,0.009571
15,595.887,1.27938,0.9041,0.92174,0.40778,0.31303,0.2908,0.16906,1.3509,1.06133,0.91751,0.009538,0.009538,0.009538
16,635.341,1.27233,0.89467,0.92251,0.41793,0.30371,0.28595,0.1648,1.3574,1.08542,0.91993,0.009505,0.009505,0.009505
17,674.602,1.26387,0.88333,0.91914,0.42147,0.31529,0.3003,0.17558,1.33743,1.04119,0.91614,0.009472,0.009472,0.009472
18,713.876,1.25921,0.87486,0.91669,0.43628,0.31361,0.30241,0.1766,1.35432,1.05343,0.92016,0.009439,0.009439,0.009439
19,753.261,1.25282,0.86558,0.91726,0.44366,0.3192,0.30431,0.17633,1.354,1.06211,0.91815,0.009406,0.009406,0.009406
20,792.672,1.23953,0.85385,0.91209,0.42027,0.32761,0.30783,0.18026,1.32605,1.02296,0.91429,0.009373,0.009373,0.009373
21,832.052,1.2401,0.85165,0.91402,0.44869,0.32041,0.30801,0.1814,1.32411,1.02147,0.91131,0.00934,0.00934,0.00934
22,871.467,1.23847,0.84566,0.9117,0.43241,0.32039,0.30045,0.17561,1.32516,1.05286,0.9155,0.009307,0.009307,0.009307
23,910.715,1.23068,0.84125,0.90937,0.43595,0.33129,0.3122,0.18123,1.32671,1.01331,0.91336,0.009274,0.009274,0.009274
24,949.888,1.223,0.82637,0.91094,0.43115,0.33345,0.31264,0.18267,1.31074,1.01834,0.91088,0.009241,0.009241,0.009241
25,989.182,1.22186,0.8283,0.90839,0.45584,0.33377,0.31756,0.18611,1.32527,1.0137,0.91296,0.009208,0.009208,0.009208
26,1028.56,1.2173,0.82232,0.90876,0.45149,0.32648,0.31486,0.1842,1.3294,1.01716,0.91399,0.009175,0.009175,0.009175
27,1067.75,1.2133,0.81622,0.90824,0.44789,0.33013,0.31452,0.18443,1.31005,1.01314,0.90814,0.009142,0.009142,0.009142
28,1106.94,1.20601,0.80801,0.90484,0.45213,0.32585,0.31436,0.18441,1.30277,1.01636,0.90594,0.009109,0.009109,0.009109
29,1146.07,1.20491,0.80138,0.9032,0.42974,0.34077,0.32084,0.18835,1.32175,1.01083,0.9106,0.009076,0.009076,0.009076
30,1185.48,1.19988,0.79873,0.90429,0.44569,0.34425,0.32211,0.18877,1.3162,1.00233,0.90996,0.009043,0.009043,0.009043
31,1224.67,1.19946,0.79391,0.90324,0.4475,0.34145,0.32692,0.19126,1.30152,0.99633,0.90686,0.00901,0.00901,0.00901
32,1263.9,1.19486,0.79053,0.90184,0.45283,0.33774,0.3221,0.1883,1.30549,1.00114,0.90584,0.008977,0.008977,0.008977
33,1303.09,1.19135,0.78343,0.9009,0.45765,0.34306,0.33151,0.19456,1.31211,0.98371,0.90668,0.008944,0.008944,0.008944
34,1342.44,1.18528,0.77929,0.89958,0.45105,0.34433,0.3302,0.19319,1.30373,0.99181,0.90662,0.008911,0.008911,0.008911
35,1381.59,1.19077,0.77889,0.8996,0.45429,0.34725,0.3331,0.19469,1.30124,0.98105,0.90615,0.008878,0.008878,0.008878
36,1420.78,1.18018,0.76908,0.89805,0.46201,0.34299,0.32841,0.19376,1.29418,0.98363,0.90663,0.008845,0.008845,0.008845
37,1459.82,1.17649,0.76619,0.89586,0.46455,0.34519,0.32916,0.19222,1.30468,0.98904,0.9065,0.008812,0.008812,0.008812
38,1499.07,1.17492,0.75983,0.89526,0.45036,0.35036,0.33288,0.19582,1.29854,0.98228,0.90427,0.008779,0.008779,0.008779
39,1538.41,1.17086,0.75667,0.89345,0.46281,0.3421,0.32897,0.19387,1.29255,0.98686,0.90391,0.008746,0.008746,0.008746
40,1577.85,1.16385,0.75207,0.8944,0.44344,0.35545,0.3304,0.19384,1.29005,0.99431,0.90345,0.008713,0.008713,0.008713
41,1617.07,1.16355,0.7483,0.89446,0.46135,0.34839,0.33037,0.19449,1.28241,0.98885,0.89975,0.00868,0.00868,0.00868
42,1656.29,1.1614,0.74414,0.8932,0.45496,0.35121,0.3322,0.19689,1.27499,0.97308,0.89859,0.008647,0.008647,0.008647
43,1695.68,1.1601,0.74341,0.89322,0.47509,0.34427,0.33885,0.20048,1.2867,0.97473,0.90257,0.008614,0.008614,0.008614
44,1734.97,1.15785,0.73651,0.89279,0.45856,0.351,0.33452,0.19833,1.28277,0.9797,0.90203,0.008581,0.008581,0.008581
45,1774.13,1.15618,0.73635,0.89132,0.46551,0.35522,0.3363,0.19789,1.27993,0.97581,0.90297,0.008548,0.008548,0.008548
46,1813.36,1.1564,0.73195,0.89122,0.46418,0.35337,0.33487,0.19728,1.2808,0.97158,0.90219,0.008515,0.008515,0.008515
47,1852.52,1.15004,0.72548,0.88927,0.46094,0.35543,0.33531,0.19739,1.27503,0.97887,0.89969,0.008482,0.008482,0.008482
48,1891.78,1.14311,0.72527,0.88808,0.47317,0.35068,0.33689,0.19935,1.27671,0.9728,0.90082,0.008449,0.008449,0.008449
49,1930.98,1.14777,0.72163,0.8892,0.46139,0.3554,0.33752,0.19903,1.28912,0.98148,0.90363,0.008416,0.008416,0.008416
50,1970.26,1.14367,0.71987,0.88848,0.47022,0.35245,0.33783,0.19879,1.28229,0.97669,0.90086,0.008383,0.008383,0.008383
51,2009.29,1.13881,0.71538,0.88851,0.46571,0.35651,0.34257,0.20226,1.28206,0.96236,0.90022,0.00835,0.00835,0.00835
52,2048.56,1.13434,0.70888,0.88661,0.46837,0.35286,0.33995,0.20109,1.26378,0.96821,0.89861,0.008317,0.008317,0.008317
53,2087.91,1.13556,0.70952,0.88647,0.47432,0.35989,0.34505,0.204,1.26989,0.95869,0.89946,0.008284,0.008284,0.008284
54,2127.2,1.12996,0.70364,0.88674,0.46743,0.35981,0.34413,0.20236,1.28389,0.9755,0.90114,0.008251,0.008251,0.008251
55,2166.56,1.13169,0.70155,0.88521,0.47517,0.3539,0.34244,0.20341,1.26994,0.96601,0.89959,0.008218,0.008218,0.008218
56,2205.93,1.13338,0.70229,0.88606,0.47094,0.36261,0.34128,0.20153,1.26937,0.97073,0.90072,0.008185,0.008185,0.008185
57,2245.08,1.12703,0.69762,0.88362,0.46732,0.35369,0.34167,0.20209,1.26651,0.96528,0.8974,0.008152,0.008152,0.008152
58,2283.96,1.12654,0.69387,0.88449,0.47474,0.35699,0.34294,0.20302,1.26429,0.96401,0.89796,0.008119,0.008119,0.008119
59,2323.32,1.12064,0.68855,0.88369,0.47558,0.36272,0.34633,0.20444,1.26801,0.96513,0.89907,0.008086,0.008086,0.008086
60,2362.65,1.1225,0.68902,0.88291,0.47196,0.36034,0.34389,0.20457,1.26593,0.96502,0.8983,0.008053,0.008053,0.008053
61,2401.89,1.11965,0.68617,0.88191,0.45799,0.36747,0.34486,0.20376,1.26445,0.96669,0.89765,0.00802,0.00802,0.00802
62,2441.06,1.11665,0.68443,0.88135,0.46849,0.36037,0.3451,0.20396,1.26455,0.97048,0.89936,0.007987,0.007987,0.007987
63,2480.2,1.11395,0.67937,0.88151,0.47872,0.36188,0.34681,0.20497,1.26446,0.96036,0.90005,0.007954,0.007954,0.007954
64,2519.42,1.11456,0.67898,0.88035,0.46672,0.36341,0.34392,0.20267,1.27044,0.97109,0.89935,0.007921,0.007921,0.007921
65,2558.51,1.11383,0.67758,0.88091,0.46834,0.36274,0.34325,0.20393,1.26183,0.97053,0.89785,0.007888,0.007888,0.007888
66,2597.68,1.11279,0.67425,0.88039,0.48757,0.35476,0.34549,0.20499,1.26607,0.96687,0.89974,0.007855,0.007855,0.007855
67,2636.74,1.10747,0.67179,0.88147,0.47162,0.36257,0.34724,0.20606,1.26906,0.9745,0.90013,0.007822,0.007822,0.007822
68,2675.99,1.10631,0.66632,0.87897,0.48551,0.35779,0.34606,0.20471,1.26149,0.96955,0.89836,0.007789,0.007789,0.007789
69,2715.05,1.10379,0.66519,0.87754,0.47959,0.36255,0.34768,0.20598,1.2689,0.97641,0.89958,0.007756,0.007756,0.007756
70,2754.2,1.10401,0.66132,0.87962,0.47896,0.3577,0.34488,0.20476,1.26443,0.98173,0.8992,0.007723,0.007723,0.007723
71,2793.33,1.09858,0.65773,0.87697,0.47823,0.35861,0.34352,0.20382,1.26365,0.98013,0.89963,0.00769,0.00769,0.00769
72,2832.64,1.09601,0.65637,0.87723,0.48541,0.36578,0.35048,0.20692,1.26168,0.97116,0.89759,0.007657,0.007657,0.007657
