epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.036,1.17314,1.3353,1.21232,0.53199,0.38596,0.40137,0.26922,1.25943,1.52213,1.24921,0.00333243,0.00333243,0.00333243
2,636.288,1.32775,1.69951,1.32165,0.51904,0.38222,0.39333,0.26308,1.27333,1.52917,1.26543,0.00664377,0.00664377,0.00664377
3,947.159,1.44588,1.9815,1.41173,0.49186,0.32842,0.33815,0.22256,1.34129,1.67863,1.32831,0.0099331,0.0099331,0.0099331
4,1257.12,1.47427,2.0543,1.44518,0.52334,0.35733,0.37553,0.25092,1.28696,1.57264,1.29278,0.009901,0.009901,0.009901
5,1515,1.41971,1.91303,1.40498,0.5362,0.38089,0.40146,0.27264,1.25109,1.50271,1.2696,0.009868,0.009868,0.009868
6,1824.38,1.38747,1.83763,1.38297,0.54588,0.39055,0.41517,0.28431,1.23274,1.46476,1.25464,0.009835,0.009835,0.009835
7,2130.6,1.3712,1.79332,1.36857,0.56853,0.39497,0.42561,0.29258,1.21934,1.43668,1.24586,0.009802,0.009802,0.009802
8,2437.3,1.35942,1.76375,1.35995,0.5665,0.40081,0.43133,0.29737,1.2121,1.42063,1.24088,0.009769,0.009769,0.009769
9,2742.09,1.3477,1.73804,1.35173,0.56744,0.40298,0.43485,0.30113,1.20721,1.41115,1.23753,0.009736,0.009736,0.009736
10,3019.07,1.34356,1.72532,1.34763,0.56404,0.40707,0.43761,0.30351,1.20348,1.4049,1.23509,0.009703,0.009703,0.009703
11,3312.15,1.33777,1.71115,1.34327,0.56923,0.40631,0.43979,0.30551,1.20027,1.40008,1.233,0.00967,0.00967,0.00967
12,3619.23,1.33518,1.70064,1.33896,0.57325,0.40669,0.44179,0.30697,1.19776,1.39583,1.23038,0.009637,0.009637,0.009637
13,3929.65,1.33094,1.69044,1.33809,0.5717,0.4113,0.44362,0.30865,1.19527,1.39193,1.22871,0.009604,0.009604,0.009604
14,4241.02,1.32916,1.68802,1.33552,0.56871,0.41487,0.4455,0.30999,1.19367,1.38691,1.22741,0.009571,0.009571,0.009571
15,4535.57,1.32625,1.67918,1.33241,0.56691,0.41831,0.44627,0.31107,1.19114,1.38301,1.22553,0.009538,0.009538,0.009538
16,4834.55,1.32457,1.67575,1.33259,0.56482,0.42068,0.44802,0.31203,1.18948,1.38053,1.22444,0.009505,0.009505,0.009505
17,5143.18,1.32326,1.67335,1.33207,0.56163,0.42365,0.44935,0.31278,1.18797,1.37615,1.22289,0.009472,0.009472,0.009472
18,5453.25,1.32225,1.6651,1.32912,0.55874,0.42534,0.45067,0.31402,1.18668,1.37198,1.22154,0.009439,0.009439,0.009439
19,5763.23,1.32095,1.6637,1.32888,0.5636,0.42359,0.45174,0.3152,1.18573,1.36836,1.22059,0.009406,0.009406,0.009406
